pregunta_id,pregunta,respuesta
q1,¿Que videos y canales concentran la mayor participacion observada?,ver results/metrics
q2,"¿Existen audiencias compartidas entre videos, canales o temas?","Si, pero de forma marginal. Solo 9 de 332 autores (2.71%) comentaron en mas de un video, y 4 en mas de un canal. Esos autores generan 11 de las 171 conexiones posibles entre videos (densidad 0.064327), y 9 de 19 videos quedan sin ninguna audiencia compartida observada."
q3,¿Que autores funcionan como puentes entre contenidos que de otra forma permanecerian separados?,ver results/metrics
q4,¿Que temas y sentimientos caracterizan a las principales comunidades de participacion?,ver results/metrics
q5,¿La visibilidad medida mediante visualizaciones coincide con la participacion observada?,"Coinciden en el orden pero no en el detalle. Sobre los 19 videos con comentarios recolectados la correlacion de rangos es rho=0.8115 (p=2e-05), fuerte y significativa. Sin embargo el video mas visto (304,089 vistas) recibio solo 25 comentarios observados, mientras que el mas comentado (161) tiene 11,775 vistas: la visibilidad ordena la participacion pero no la determina."
q6,¿Que conclusiones estan limitadas por el procedimiento de recoleccion y la cobertura de los datos?,ver results/metrics
p1,¿Los autores recurrentes participan dentro de un solo canal o atraviesan canales?,"La recurrencia es abrumadoramente intra-video. De 46 autores con mas de un comentario, 37 (80.4%) los publicaron todos en el mismo video y 42 (91.3%) dentro de un solo canal. Solo 4 autores atraviesan canales, con un maximo de 2 canales distintos. En esta muestra 'comentar mas' significa insistir en el mismo hilo, no seguir a varios emisores."
p2,¿Los videos con mas respuestas tienen tambien mayor diversidad de autores?,"El numero absoluto de respuestas crece con el numero de autores (rho=0.697, p=0.00092), pero la *diversidad* relativa (autores unicos por comentario) se relaciona negativamente con el volumen (rho=-0.731, p=0.00037): en los videos mas comentados hay proporcionalmente mas autores que repiten. Aun asi la diversidad media es 0.933, muy cerca de 1: casi cada comentario proviene de una persona distinta."
p3,"¿Que consultas de recoleccion recuperaron contenido perteneciente a multiples comunidades, y hasta que punto la consulta determina la comunidad?","De las 7 consultas que recuperaron videos con comentarios, 4 aparecen en mas de una comunidad. La concordancia entre consulta y comunidad es NMI=0.639 pero ARI=0.083. El ARI, que corrige por azar, es bajo: la particion en comunidades NO es una relectura de la consulta de recoleccion. El NMI resulta alto solo porque la particion tiene 9 singletons, y una particion muy fragmentada comparte informacion con casi cualquier etiquetado. La conclusion es que las comunidades responden a audiencia compartida y no al muestreo, aunque el muestreo determina que agrupamientos pueden llegar a observarse."
p4,¿El sentimiento del comentario se asocia con su longitud y con los 'me gusta' que recibe?,"Si, en las dos direcciones. Los comentarios negativos son los mas largos (mediana 132 caracteres frente a 76 de los positivos y 41 de los neutros; Kruskal-Wallis H=73.9, p=0.0), pero reciben menos aprobacion: mediana de 0 'me gusta' frente a 2 de los positivos (H=27.6, p=1e-06). La critica se argumenta mas y se premia menos en esta muestra."
p5,¿Las visualizaciones de un video predicen su posicion en la red de audiencia compartida?,"No de forma significativa. Con n=19, la correlacion de rangos entre visualizaciones y grado en la proyeccion es rho=0.289 (p=0.2307) y con betweenness rho=0.314 (p=0.1906). El video mas visto de la muestra (Plan 2032 Ciudad de Guatemala, 304,089 vistas) tiene grado 0, mientras que el mas central es Qué rico come tu diputado. El numero de comentarios observados si predice el grado (rho=0.678, p=0.0014): la posicion estructural depende de la participacion recolectada, no de la visibilidad."
