agrupacion,grupo,n,comparable_n_mayor_igual_10,n_NEG,pct_NEG,n_NEU,pct_NEU,n_POS,pct_POS,confianza_media,confianza_mediana,polaridad_neta,etiqueta_mayoritaria,grupo_label
video,n8iP75gIpmw,161,True,130,80.75,22,13.66,9,5.59,0.8373,0.9014,-75.16,NEG,Qué rico come tu diputado
video,j43HgwYFKfk,50,True,29,58.0,10,20.0,11,22.0,0.8032,0.8319,-36.0,NEG,La cooptación de Walter Mazariegos en la USAC
video,6W4u8sGEnGM,45,True,18,40.0,14,31.11,13,28.89,0.7612,0.7792,-11.11,NEG,Inician los trabajos de recuperación del Puente Belice II.
video,lj983NWyAQY,25,True,2,8.0,3,12.0,20,80.0,0.835,0.8737,72.0,POS,Plan 2032 Ciudad de Guatemala
video,PjmxCj-a9Hg,25,True,16,64.0,5,20.0,4,16.0,0.7873,0.8531,-48.0,NEG,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt
video,OkXlHx0hx-8,25,True,18,72.0,5,20.0,2,8.0,0.724,0.7074,-64.0,NEG,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo
video,yLZS3JiEBg8,16,True,9,56.25,2,12.5,5,31.25,0.8871,0.9309,-25.0,NEG,Arroz con pollo a la MONOPOLIO
video,06mFNPU0aB8,14,True,4,28.57,7,50.0,3,21.43,0.7326,0.7581,-7.14,NEU,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto
video,ndAZjHqzzT8,12,True,4,33.33,4,33.33,4,33.33,0.7602,0.8494,0.0,NEG,Internet: escoger el menos malo
video,is3Mk5oC19g,7,False,6,85.71,1,14.29,0,0.0,0.736,0.7439,-85.71,NEG,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu
video,b_Hkrkl3adA,7,False,6,85.71,1,14.29,0,0.0,0.8335,0.8372,-85.71,NEG,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales
video,WIUZtitfLRw,6,False,4,66.67,1,16.67,1,16.67,0.8514,0.9214,-50.0,NEG,Caminar en una ciudad hecha para carros
video,TT4qJ5FXHYE,4,False,1,25.0,0,0.0,3,75.0,0.9496,0.9507,50.0,POS,"I’x K’at: el primer equipo guatemalteco de pelota maya, conformado únicamente por mujeres."
video,JkpVO1hx2f8,3,False,1,33.33,0,0.0,2,66.67,0.6428,0.6281,33.34,POS,10 Preguntas a un año del Paro Nacional
video,3Nfp9h5avBI,2,False,1,50.0,1,50.0,0,0.0,0.8795,0.8795,-50.0,NEU,"Noticiero en Directo 1 pm, 28 de Agosto de 2026"
video,X_FAIef8qlE,1,False,1,100.0,0,0.0,0,0.0,0.8537,0.8537,-100.0,NEG,Cruzando la ciudad a puro Transmetro
video,UhL9y3KUl8E,1,False,0,0.0,0,0.0,1,100.0,0.9743,0.9743,100.0,POS,SHAI WA: la vecina queer de Casa Presidencial
